url,inventory_sources
https://demo.example.com/,gsc
https://demo.example.com/page-002,"gsc,sitemap"
https://demo.example.com/page-003,"gsc,sitemap"
https://demo.example.com/page-004,"gsc,sitemap"
https://demo.example.com/page-005,"gsc,sitemap"
https://demo.example.com/page-006,"gsc,sitemap"
https://demo.example.com/page-007,"gsc,sitemap"
https://demo.example.com/page-008,"gsc,sitemap"
https://demo.example.com/page-009,"gsc,sitemap"
https://demo.example.com/page-010,gsc
https://demo.example.com/page-011,gsc
https://demo.example.com/page-012,"gsc,sitemap"
https://demo.example.com/page-013,"gsc,sitemap"
https://demo.example.com/page-014,"gsc,sitemap"
https://demo.example.com/page-015,"gsc,sitemap"
