page,query,Clicks,Impressions,AveragePosition,CurrentPosition,CTR,keyword_intent,page_type,Revenue,Purchases,AddToCarts,Sessions,RevenuePerSession,CommerceScore,RankingOpportunityScore,DemandScore,CommercialIntentScore,LandingPageCommerceScore,KeywordOpportunityScore,KeywordPriority,RecommendedKeywordAction,CurrentLandingPageType,ContentGapScore,ContentGapPriority,ContentGapReason,RecommendedContentAction,SuggestedCommercialDestination
https://demo.example.com/,demo search query 001,0.73,66.42999999999999,5.187179487179487,8.0,0.01098901098901099,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,80.0,92.1638723054374,45.0,100.0,79.04096807635935,High,"Prioritize this query on the current landing page: strengthen title/H1/content alignment, internal links and GEO answer coverage.",category,80.28172370295846,High,The category page is receiving informational demand for “vicco nasıl okunur”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 002,0.0,29.119999999999997,2.7427536231884058,1.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,83.89339720444715,45.0,100.0,58.97334930111179,Medium,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,67.16972386638136,Medium,The category page is receiving informational demand for “vicco nasıl bir marka”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 003,0.0,2.7299999999999995,3.0,3.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,50.103671397418935,45.0,100.0,50.525917849354734,Medium,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,54.46733642389855,Medium,The category page is receiving informational demand for “bebek ilk adım ayakkabısı nasıl olmalı”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 004,0.0,0.9099999999999999,10.0,10.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,70.0,18.26404032459872,45.0,100.0,56.56601008114968,Medium,"Prioritize this query on the current landing page: strengthen title/H1/content alignment, internal links and GEO answer coverage.",category,47.10924890583266,Medium,The category page is receiving informational demand for “küçük çocuk ayakkabısının adı nedir”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 005,0.0,0.9099999999999999,3.0,3.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,18.26404032459872,45.0,100.0,42.566010081149685,Low,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,38.709248905832666,Low,The category page is receiving informational demand for “bebeklerin ilk ayakkabısı nasıl olmalı”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 006,0.0,0.9099999999999999,3.0,3.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,18.26404032459872,45.0,100.0,42.566010081149685,Low,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,38.709248905832666,Low,The category page is receiving informational demand for “ilk adım ayakkabısı nasıl olmalı”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 007,0.0,0.9099999999999999,3.0,3.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,18.26404032459872,45.0,100.0,42.566010081149685,Low,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,38.709248905832666,Low,The category page is receiving informational demand for “kiko kids nasıl bir marka”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 008,0.0,0.9099999999999999,1.0,1.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,18.26404032459872,45.0,100.0,42.566010081149685,Low,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,38.709248905832666,Low,The category page is receiving informational demand for “nasıl tamir edilir”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 009,0.0,0.9099999999999999,2.0,2.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,18.26404032459872,45.0,100.0,42.566010081149685,Low,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,38.709248905832666,Low,The category page is receiving informational demand for “neden arar”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 010,0.0,0.9099999999999999,2.0,2.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,35.0,18.26404032459872,45.0,100.0,42.566010081149685,Low,Defend the ranking and improve CTR/conversion without changing the proven query intent.,category,38.709248905832666,Low,The category page is receiving informational demand for “vicco iade nasıl yapılır”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
https://demo.example.com/,demo search query 011,0.0,0.9099999999999999,36.0,36.0,0.0,Informational,Demo Category 01,909444.5262316199,532.8599999999999,4812.17,60922.62,10.194285811338931,100.0,13.0,18.26404032459872,45.0,100.0,33.76601008114968,Low,Use the query as supporting content or blog coverage and route qualified users toward the relevant commercial landing page.,category,33.429248905832665,Low,The category page is receiving informational demand for “bot nedir ayakkabi”. Supporting content can capture the informational intent and pass authority to the category.,"Expand the category with concise buying guidance and FAQs, and create a supporting article for deeper informational questions. Link both assets contextually.",https://demo.example.com/
