page,ForecastDate,HorizonDay,PredictedClicks,PredictedImpressions,PredictedCTR,PredictedTrafficValue,ForecastMethod,StrategicAdjusted
https://demo.example.com/page-007,2027-05-19,276,0.012954,0.918098,0.014109604856997837,0.006740999999999999,RecursiveDailyML,False
https://demo.example.com/page-005,2027-05-19,276,0.012444,0.523674,0.023762875376665635,0.006527,RecursiveDailyML,False
https://demo.example.com/page-006,2027-05-19,276,0.037128,1.750186,0.021213745281930034,0.019473999999999998,RecursiveDailyML,False
https://demo.example.com/page-008,2027-05-19,276,0.01173,0.92872,0.012630286846412268,0.006098999999999999,RecursiveDailyML,False
https://demo.example.com/page-014,2027-05-19,276,0.012138000000000001,0.9536299999999999,0.012728206956576452,0.006312999999999999,RecursiveDailyML,False
https://demo.example.com/page-010,2027-05-19,276,0.018972,0.727278,0.026086310874246163,0.009950999999999998,RecursiveDailyML,False
https://demo.example.com/page-011,2027-05-19,276,0.012954,0.918098,0.014109604856997837,0.006847999999999999,RecursiveDailyML,False
https://demo.example.com/page-012,2027-05-19,276,0.012138000000000001,0.9536299999999999,0.012728206956576452,0.006312999999999999,RecursiveDailyML,False
https://demo.example.com/page-013,2027-05-19,276,0.018869999999999998,0.727278,0.025946061891051288,0.009843999999999999,RecursiveDailyML,False
https://demo.example.com/page-004,2027-05-19,276,0.01173,0.9536299999999999,0.012300368067279766,0.006098999999999999,RecursiveDailyML,False
https://demo.example.com/page-009,2027-05-19,276,0.01173,0.9534419999999999,0.012302793457808658,0.006098999999999999,RecursiveDailyML,False
https://demo.example.com/page-003,2027-05-19,276,0.01173,0.9536299999999999,0.012300368067279766,0.006098999999999999,RecursiveDailyML,False
https://demo.example.com/page-002,2027-05-19,276,0.012444,0.523674,0.023762875376665635,0.006527,RecursiveDailyML,False
https://demo.example.com/page-015,2027-05-19,276,0.012138000000000001,0.9536299999999999,0.012728206956576452,0.006312999999999999,RecursiveDailyML,False
https://demo.example.com/,2027-05-19,276,339.411528,2771.7440659999997,0.12245413714903935,178.02467399999998,RecursiveDailyML,False
https://demo.example.com/page-007,2027-05-20,277,0.012954,0.918098,0.014109604856997837,0.006740999999999999,RecursiveDailyML,False
https://demo.example.com/page-005,2027-05-20,277,0.012444,0.523674,0.023762875376665635,0.006527,RecursiveDailyML,False
https://demo.example.com/page-006,2027-05-20,277,0.037128,1.750186,0.021213745281930034,0.019473999999999998,RecursiveDailyML,False
https://demo.example.com/page-008,2027-05-20,277,0.01173,0.92872,0.012630286846412268,0.006098999999999999,RecursiveDailyML,False
https://demo.example.com/page-014,2027-05-20,277,0.012138000000000001,0.9536299999999999,0.012728206956576452,0.006312999999999999,RecursiveDailyML,False
https://demo.example.com/page-010,2027-05-20,277,0.018972,0.727278,0.026086310874246163,0.009950999999999998,RecursiveDailyML,False
