date,page,page_type,clicks,impressions,position,CTR,TrafficValue,RankStrength,VisibilityScore,Top3Flag,Top10Flag,Page2Flag,sessions,users,engaged_sessions,engagement_rate,average_session_duration,conversions,revenue,purchases,add_to_carts,checkouts,OrganicConversionRate,RevenuePerOrganicSession,RevenuePerOrganicClick,CartRate,CheckoutRate
2026-06-18,https://demo.example.com/,Demo Category 01,408.16999999999996,3691.7099999999996,2.539638812366085,0.11056393920432536,173.215,0.3937567795588767,343.0,1.0699999999999998,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,https://demo.example.com/page-006,Demo Category 01,0.0,1.13,2.0,0.0,0.0,0.5,0.0,1.0699999999999998,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,https://demo.example.com/page-008,Demo Category 01,0.0,1.13,11.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,https://demo.example.com/page-009,Demo Category 01,0.0,1.13,10.0,0.0,0.0,0.1,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,https://demo.example.com/page-010,Demo Category 01,0.0,1.13,1.0,0.0,0.0,1.0,0.0,1.0699999999999998,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,https://demo.example.com/page-013,Demo Category 01,0.0,1.13,6.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,https://demo.example.com/page-014,Demo Category 01,0.0,1.13,8.0,0.0,0.0,0.125,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,https://demo.example.com/,Demo Category 01,408.16999999999996,3365.14,2.6178643384822027,0.12129361631314,173.215,0.3819907644946126,343.0,1.0699999999999998,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,https://demo.example.com/page-007,Demo Category 01,0.0,2.26,5.0,0.0,0.0,0.2,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,https://demo.example.com/page-010,Demo Category 01,0.0,1.13,8.0,0.0,0.0,0.125,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
