month,page,page_type,clicks,impressions,position,CTR,TrafficValue,RankStrength,VisibilityScore,Top3Flag,Top10Flag,Page2Flag,sessions,users,engaged_sessions,engagement_rate,average_session_duration,conversions,revenue,purchases,add_to_carts,checkouts,OrganicConversionRate,RevenuePerOrganicSession,RevenuePerOrganicClick,CartRate,CheckoutRate
2026-06,https://demo.example.com/,Demo Category 01,5024.179999999999,37638.96,2.7185411550245417,0.13348349688726785,2111.0,0.3678443484851244,4222.0,1.0899999999999999,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-006,Demo Category 01,0.0,13.02,4.375,0.0,0.0,0.2285714285714285,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-007,Demo Category 01,0.0,8.37,4.2,0.0,0.0,0.238095238095238,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-008,Demo Category 01,0.0,2.79,8.0,0.0,0.0,0.125,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-009,Demo Category 01,0.0,1.8599999999999999,9.5,0.0,0.0,0.1052631578947368,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-010,Demo Category 01,0.0,20.459999999999997,3.256944444444444,0.0,0.0,0.3070362473347548,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-011,Demo Category 01,0.0,9.299999999999999,4.8125,0.0,0.0,0.2077922077922078,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-013,Demo Category 01,0.0,5.58,6.875,0.0,0.0,0.1454545454545454,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,https://demo.example.com/page-014,Demo Category 01,0.0,5.58,8.375,0.0,0.0,0.1194029850746268,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07,https://demo.example.com/,Demo Category 01,9615.199999999999,67523.58,3.106265171384788,0.14239766315707786,4040.0,0.3219300171833673,8080.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
